img,index,title,url,year,rating
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,97,Children of Heaven,/title/tt0118849/,1997,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,98,The Bandit,/title/tt0116231/,1996,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,99,Toy Story,/title/tt0114709/,1995,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,100,Braveheart,/title/tt0112573/,1995,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,101,Reservoir Dogs,/title/tt0105236/,1992,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,102,Full Metal Jacket,/title/tt0093058/,1987,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,103,Come and See,/title/tt0091251/,1985,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,104,Aliens,/title/tt0090605/,1986,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,105,Amadeus,/title/tt0086879/,1984,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,106,Scarface,/title/tt0086250/,1983,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,107,Star Wars: Episode VI - Return of the Jedi,/title/tt0086190/,1983,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,108,Das Boot,/title/tt0082096/,1981,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,109,Taxi Driver,/title/tt0075314/,1976,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,110,The Sting,/title/tt0070735/,1973,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,111,A Clockwork Orange,/title/tt0066921/,1971,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,112,2001: A Space Odyssey,/title/tt0062622/,1968,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,113,For a Few Dollars More,/title/tt0059578/,1965,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,114,To Kill a Mockingbird,/title/tt0056592/,1962,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,115,Lawrence of Arabia,/title/tt0056172/,1962,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,116,The Apartment,/title/tt0053604/,1960,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,117,North by Northwest,/title/tt0053125/,1959,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,118,Vertigo,/title/tt0052357/,1958,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,119,Singin' in the Rain,/title/tt0045152/,1952,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,120,Ikiru,/title/tt0044741/,1952,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,121,Bicycle Thieves,/title/tt0040522/,1948,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,122,Double Indemnity,/title/tt0036775/,1944,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,123,Citizen Kane,/title/tt0033467/,1941,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,124,M,/title/tt0022100/,1931,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,125,Metropolis,/title/tt0017136/,1927,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,126,The Kid,/title/tt0012349/,1921,8.3
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,127,K.G.F: Chapter 1,/title/tt7838252/,2018,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,128,Marriage Story,/title/tt7653254/,2019,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,129,Green Book,/title/tt6966692/,2018,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,130,Pink,/title/tt5571734/,III 2016,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,131,A Silent Voice: The Movie,/title/tt5323662/,2016,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,132,"Three Billboards Outside Ebbing, Missouri",/title/tt5027774/,2017,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,133,Talvar,/title/tt4934950/,2015,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,134,Baahubali 2: The Conclusion,/title/tt4849438/,2017,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,135,Drishyam,/title/tt4430212/,2015,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,136,Queen,/title/tt3322420/,2013,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,137,Tangerines,/title/tt2991224/,2013,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,138,Žiemos miegas,/title/tt2758880/,2014,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,139,Bhaag Milkha Bhaag,/title/tt2356180/,2013,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,140,OMG: Oh My God!,/title/tt2283748/,2012,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,141,Inside Out,/title/tt2096673/,I 2015,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,142,Gangs of Wasseypur,/title/tt1954470/,2012,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,143,Udaan,/title/tt1639426/,2010,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,144,Paan Singh Tomar,/title/tt1620933/,2012,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,145,The Secret in Their Eyes,/title/tt1305806/,2009,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,146,Warrior,/title/tt1291584/,2011,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,147,Up,/title/tt1049413/,2009,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,148,The Wolf of Wall Street,/title/tt0993846/,2013,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,149,Chak de! India,/title/tt0871510/,2007,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,150,There Will Be Blood,/title/tt0469494/,2007,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,151,Pan's Labyrinth,/title/tt0457430/,2006,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,152,V for Vendetta,/title/tt0434409/,2005,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,153,Nudažyk geltonai,/title/tt0405508/,2006,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,154,Black,/title/tt0375611/,2005,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,155,Batman Begins,/title/tt0372784/,2005,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,156,Swades,/title/tt0367110/,2004,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,157,Downfall,/title/tt0363163/,2004,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,158,Howl's Moving Castle,/title/tt0347149/,2004,8.2
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB470041630_.png,159,A Beautiful Mind,/title/tt0268978/,2001,8.2
